zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,area,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,availabilityDate,visited,timeOnZillow,rentalMarketingSubType,latLong.latitude,latLong.longitude,variableData.type,variableData.text,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.isRentalWithBasePrice,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.isShowcaseListing,variableData.data.isRead,variableData.data.isFresh,hdpData.homeInfo.zestimate,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceReduction,hdpData.homeInfo.priceChange,hdpData.homeInfo.videoCount,hdpData.homeInfo.unit,streetViewURL,streetViewMetadataURL
85584678,ForRent,For Rent,https://photos.zillowstatic.com/fp/d1d9c55553530bdcba551f1fa50b9b7c-p_e.jpg,True,/homedetails/1803-E-Thornton-Dr-Bloomington-IN-47401/85584678_zpid/,FOR_RENT,House for rent,"$2,600/mo",$2.6K,"1803 E Thornton Dr, Bloomington, IN 47401",3,2.5,1944.0,False,False,ForRent,For Rent,False,False,False,False,False,True,False,,False,2024-04-01 00:00:00,False,1008691000,unknown,39.148705,-86.51193,PERSONALIZED_HOME_INSIGHT,Grocery store,85584678,1803 E Thornton Dr,47401,Bloomington,IN,39.148705,-86.51193,2600.0,2.5,3.0,1944.0,SINGLE_FAMILY,FOR_RENT,-1,True,False,False,1999,False,False,FOR_RENT,2600.0,1008691000,True,False,False,USD,USA,318800.0,False,,,,,,,,,,
85585960,ForRent,For Rent,https://photos.zillowstatic.com/fp/111e7bcb053a87248c21a21b7ed5d448-p_e.jpg,True,/homedetails/2113-S-Locust-Ct-Bloomington-IN-47401/85585960_zpid/,FOR_RENT,House for rent,"$1,800/mo",$1.8K,"2113 S Locust Ct, Bloomington, IN 47401",3,3.0,1950.0,False,False,ForRent,For Rent,False,False,False,False,False,True,False,,False,2024-08-15 00:00:00,False,783629000,unknown,39.14337,-86.50871,TIME_ON_INFO,9 days ago,85585960,2113 S Locust Ct,47401,Bloomington,IN,39.14337,-86.50871,1800.0,3.0,3.0,1950.0,SINGLE_FAMILY,FOR_RENT,-1,True,False,False,2028,False,False,FOR_RENT,1800.0,783629000,True,False,False,USD,USA,268100.0,False,,False,327500.0,,,,,,,
94516037,ForRent,For Rent,https://photos.zillowstatic.com/fp/890ffd75865e43634beb8ac8de34dd1b-p_e.jpg,True,/homedetails/1009-W-9th-St-Bloomington-IN-47404/94516037_zpid/,FOR_RENT,House for rent,"$3,300/mo",$3.3K,"1009 W 9th St, Bloomington, IN 47404",3,2.5,1536.0,False,False,ForRent,For Rent,False,False,False,False,False,True,False,,False,2024-07-08 00:00:00,False,1022554000,unknown,39.170227,-86.54471,PERSONALIZED_HOME_INSIGHT,Basketball court,94516037,1009 W 9th St,47404,Bloomington,IN,39.170227,-86.54471,3300.0,2.5,3.0,1536.0,SINGLE_FAMILY,FOR_RENT,-1,True,False,False,1900,False,False,FOR_RENT,3300.0,1022554000,True,False,False,USD,USA,425400.0,False,,,458200.0,,,,,,,
211076689,ForRent,For Rent,https://photos.zillowstatic.com/fp/5fcbb68c3cf2ae9903e9f39dcc5bd1e8-p_e.jpg,True,/homedetails/240-S-Cave-Creek-Dr-Bloomington-IN-47403/211076689_zpid/,FOR_RENT,House for rent,"$2,200/mo",$2.2K,"240 S Cave Creek Dr, Bloomington, IN 47403",3,2.5,2480.0,False,False,ForRent,For Rent,False,False,False,False,False,True,False,,False,2024-05-15 00:00:00,False,958252000,unknown,39.15971,-86.60092,TIME_ON_INFO,11 days ago,211076689,240 S Cave Creek Dr,47403,Bloomington,IN,39.15971,-86.60092,2200.0,2.5,3.0,2480.0,SINGLE_FAMILY,FOR_RENT,-1,True,False,False,2600,False,False,FOR_RENT,2200.0,958252000,True,False,False,USD,USA,409000.0,False,,False,409200.0,,,,,,,
85578072,ForRent,For Rent,https://photos.zillowstatic.com/fp/5c634e22ee91c51917e2ad4823976a82-p_e.jpg,True,/homedetails/502-W-Skyline-Dr-Bloomington-IN-47404/85578072_zpid/,FOR_RENT,House for rent,"$2,200/mo",$2.2K,"502 W Skyline Dr, Bloomington, IN 47404",3,2.0,1008.0,False,False,ForRent,For Rent,False,False,False,False,False,True,False,,False,2024-06-01 00:00:00,False,3528423000,unknown,39.190483,-86.53927,PERSONALIZED_HOME_INSIGHT,New windows,85578072,502 W Skyline Dr,47404,Bloomington,IN,39.190483,-86.53927,2200.0,2.0,3.0,1008.0,SINGLE_FAMILY,FOR_RENT,-1,True,False,False,1700,False,False,FOR_RENT,2200.0,3528423000,True,False,False,USD,USA,206300.0,False,,,238900.0,,,,,,,
94524061,ForRent,For Rent,https://photos.zillowstatic.com/fp/1a03935730630cb425e061a1a771af76-p_e.jpg,True,/homedetails/828-S-Harvey-Dr-Bloomington-IN-47403/94524061_zpid/,FOR_RENT,House for rent,"$1,500/mo",$1.5K,"828 S Harvey Dr, Bloomington, IN 47403",3,2.0,1008.0,False,False,ForRent,For Rent,False,False,False,False,False,True,False,,False,2024-08-13 00:00:00,False,10167383000,unknown,39.159294,-86.58818,TIME_ON_INFO,117 days ago,94524061,828 S Harvey Dr,47403,Bloomington,IN,39.159294,-86.58818,1500.0,2.0,3.0,1008.0,SINGLE_FAMILY,FOR_RENT,-1,True,False,False,1650,False,False,FOR_RENT,1500.0,10167383000,True,False,False,USD,USA,202800.0,False,,False,230400.0,1710399600000.0,$50 (Mar 14),-50.0,,,,
102877934,ForRent,For Rent,https://photos.zillowstatic.com/fp/d50cb1664a9149da07505e09530ab7ac-p_e.jpg,True,/homedetails/205-S-Hillsdale-Dr-Bloomington-IN-47408/102877934_zpid/,FOR_RENT,House for rent,"$1,825/mo",$1.8K,"205 S Hillsdale Dr, Bloomington, IN 47408",3,2.0,1080.0,False,False,ForRent,For Rent,False,False,False,False,False,True,False,,False,2024-07-29 00:00:00,False,9995085000,unknown,39.16573,-86.5029,PERSONALIZED_HOME_INSIGHT,Rustic hardwood floors throughout,102877934,205 S Hillsdale Dr,47408,Bloomington,IN,39.16573,-86.5029,1825.0,2.0,3.0,1080.0,SINGLE_FAMILY,FOR_RENT,-1,True,False,False,2049,False,False,FOR_RENT,1825.0,9995085000,True,False,False,USD,USA,227200.0,False,,,294300.0,1711090800000.0,$150 (Mar 22),-150.0,,,,
85579702,ForRent,For Rent,https://photos.zillowstatic.com/fp/878ef079e3b6bda1716226c98c8d880b-p_e.jpg,True,/homedetails/1536-W-Shamrock-Ct-Bloomington-IN-47403/85579702_zpid/,FOR_RENT,House for rent,"$2,600/mo",$2.6K,"1536 W Shamrock Ct, Bloomington, IN 47403",3,2.5,1690.0,False,False,ForRent,For Rent,False,False,False,False,False,False,False,,False,2024-05-01 00:00:00,False,78221000,unknown,39.12316,-86.54919,TIME_ON_INFO,21 hours ago,85579702,1536 W Shamrock Ct,47403,Bloomington,IN,39.12316,-86.54919,2600.0,2.5,3.0,1690.0,SINGLE_FAMILY,FOR_RENT,-1,False,False,False,1900,False,False,FOR_RENT,2600.0,78221000,True,False,False,USD,USA,289000.0,False,,True,310500.0,,,,,,,
94521128,ForRent,For Rent,https://photos.zillowstatic.com/fp/10b061f47176b43589491a14c15ed738-p_e.jpg,True,/homedetails/1400-S-Lincoln-St-Bloomington-IN-47401/94521128_zpid/,FOR_RENT,House for rent,"$2,000/mo",$2.0K,"1400 S Lincoln St, Bloomington, IN 47401",3,2.0,3000.0,False,False,ForRent,For Rent,False,False,False,False,False,False,False,,False,,False,190770000,unknown,39.151325,-86.53167,PERSONALIZED_HOME_INSIGHT,Lawn service,94521128,1400 S Lincoln St,47401,Bloomington,IN,39.151325,-86.53167,2000.0,2.0,3.0,3000.0,SINGLE_FAMILY,FOR_RENT,-1,False,False,False,2058,False,False,FOR_RENT,2000.0,190770000,True,False,False,USD,USA,224300.0,False,,,317300.0,,,,,,,
94521699,ForRent,For Rent,https://photos.zillowstatic.com/fp/496bbf076c3ef8ca9ea08bbc9bd444ac-p_e.jpg,True,/homedetails/534-E-Southern-Dr-Bloomington-IN-47401/94521699_zpid/,FOR_RENT,House for rent,"$1,720/mo",$1.7K,"534 E Southern Dr, Bloomington, IN 47401",3,2.0,1352.0,False,False,ForRent,For Rent,False,False,False,False,False,False,False,,False,2024-08-07 00:00:00,False,325210000,unknown,39.149536,-86.527794,PERSONALIZED_HOME_INSIGHT,Central heating,94521699,534 E Southern Dr,47401,Bloomington,IN,39.149536,-86.527794,1720.0,2.0,3.0,1352.0,SINGLE_FAMILY,FOR_RENT,-1,False,False,False,1849,False,False,FOR_RENT,1720.0,325210000,True,False,False,USD,USA,139500.0,False,,,204200.0,,,,,,,
